"gene set";"p-value";"fdr"
"metal ion transport";"0.944444444444444      .";"1      ."
"methylation";"0.944444444444444      .";"1      ."
"mitochondrial fusion";"0.944444444444444      .";"1      ."
"NAD+ binding";"0.944444444444444      .";"1      ."
"NLS-bearing protein import into nucleus";"0.944444444444444      .";"1      ."
"nuclease activity";"0.944444444444444      .";"1      ."
"nucleobase-containing compound metabolic process";"0.944444444444444      .";"1      ."
"O-acyltransferase activity";"0.944444444444444      .";"1      ."
"peptidase activity";"0.944444444444444      .";"1      ."
"peroxisome";"0.944444444444444      .";"1      ."
"phosphotransferase activity, alcohol group as acceptor";"0.944444444444444      .";"1      ."
"positive regulation of I-kappaB kinase/NF-kappaB signaling";"0.944444444444444      .";"1      ."
"pre-autophagosomal structure";"0.944444444444444      .";"1      ."
"protein ADP-ribosylation";"0.944444444444444      .";"1      ."
"protein import into mitochondrial matrix";"0.944444444444444      .";"1      ."
"protein transporter activity";"0.944444444444444      .";"1      ."
"proteolysis";"0.944444444444444      .";"1      ."
"regulatory region DNA binding";"0.944444444444444      .";"1      ."
"retinal pigment epithelium development";"0.944444444444444      .";"1      ."
"ribosome binding";"0.944444444444444      .";"1      ."
"serine-type endopeptidase activity";"0.944444444444444      .";"1      ."
"serine-type peptidase activity";"0.944444444444444      .";"1      ."
"SH3/SH2 adaptor activity";"0.944444444444444      .";"1      ."
"sodium-independent organic anion transmembrane transporter activity";"0.944444444444444      .";"1      ."
"sodium-independent organic anion transport";"0.944444444444444      .";"1      ."
"sphingolipid biosynthetic process";"0.944444444444444      .";"1      ."
"trans-Golgi network";"0.944444444444444      .";"1      ."
"type B pancreatic cell development";"0.944444444444444      .";"1      ."
"ubiquitin-dependent ERAD pathway";"0.944444444444444      .";"1      ."
"ubiquitin protein ligase activity";"0.944444444444444      .";"1      ."
"ubiquitin protein ligase binding";"0.944444444444444      .";"1      ."
"2 iron, 2 sulfur cluster binding";"1      .";"1      ."
"3-oxo-arachidoyl-CoA synthase activity";"1      .";"1      ."
"3-oxo-cerotoyl-CoA synthase activity";"1      .";"1      ."
"3-oxo-lignoceronyl-CoA synthase activity";"1      .";"1      ."
"anion:anion antiporter activity";"1      .";"1      ."
"autophagosome assembly";"1      .";"1      ."
"bicarbonate transmembrane transporter activity";"1      .";"1      ."
"biosynthetic process";"1      .";"1      ."
"calcium-dependent cysteine-type endopeptidase activity";"1      .";"1      ."
"cellular amino acid metabolic process";"1      .";"1      ."
"cellular response to oxidative stress";"1      .";"1      ."
"cellular response to xenobiotic stimulus";"1      .";"1      ."
"ceramide biosynthetic process";"1      .";"1      ."
"cytosol";"1      .";"1      ."
"endocytosis";"1      .";"1      ."
"endoplasmic reticulum";"1      .";"1      ."
"endoplasmic reticulum lumen";"1      .";"1      ."
"endoplasmic reticulum membrane";"1      .";"1      ."
"endosome";"1      .";"1      ."
"ER membrane protein complex";"1      .";"1      ."
"exonuclease activity";"1      .";"1      ."
"extrinsic component of membrane";"1      .";"1      ."
"FAD binding";"1      .";"1      ."
"fatty acid biosynthetic process";"1      .";"1      ."
"fatty acid elongase activity";"1      .";"1      ."
"fatty acid elongation, monounsaturated fatty acid";"1      .";"1      ."
"fatty acid elongation, saturated fatty acid";"1      .";"1      ."
"fatty acid metabolic process";"1      .";"1      ."
"flavin adenine dinucleotide binding";"1      .";"1      ."
"G-protein coupled purinergic nucleotide receptor activity";"1      .";"1      ."
"G-protein coupled purinergic nucleotide receptor signaling pathway";"1      .";"1      ."
"glutathione transferase activity";"1      .";"1      ."
"GPI anchor biosynthetic process";"1      .";"1      ."
"hydrolase activity";"1      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";"1      .";"1      ."
"hydrolase activity, acting on ester bonds";"1      .";"1      ."
"hydrolase activity, acting on glycosyl bonds";"1      .";"1      ."
"hydrolase activity, hydrolyzing O-glycosyl compounds";"1      .";"1      ."
"integral component of endoplasmic reticulum membrane";"1      .";"1      ."
"integral component of Golgi membrane";"1      .";"1      ."
"iron-sulfur cluster binding";"1      .";"1      ."
"lipid biosynthetic process";"1      .";"1      ."
"lyase activity";"1      .";"1      ."
"lysosome";"1      .";"1      ."
"manganese ion binding";"1      .";"1      ."
"melanocyte differentiation";"1      .";"1      ."
"metabolic process";"1      .";"1      ."
"metal ion transmembrane transporter activity";"1      .";"1      ."
"mitochondrion organization";"1      .";"1      ."
"mitophagy";"1      .";"1      ."
"muscle structure development";"1      .";"1      ."
"NAD binding";"1      .";"1      ."
"NAD biosynthetic process";"1      .";"1      ."
"negative regulation of TOR signaling";"1      .";"1      ."
"nucleophagy";"1      .";"1      ."
"nucleoside metabolic process";"1      .";"1      ."
"nucleotide biosynthetic process";"1      .";"1      ."
"organic anion transmembrane transporter activity";"1      .";"1      ."
"organic anion transport";"1      .";"1      ."
"oxalate transmembrane transporter activity";"1      .";"1      ."
"oxalate transport";"1      .";"1      ."
"oxidoreductase activity, acting on the CH-CH group of donors";"1      .";"1      ."
"phospholipid biosynthetic process";"1      .";"1      ."
"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway";"1      .";"1      ."
"positive regulation of NF-kappaB transcription factor activity";"1      .";"1      ."
"positive regulation of Rho protein signal transduction";"1      .";"1      ."
"protein catabolic process";"1      .";"1      ."
"protein disulfide oxidoreductase activity";"1      .";"1      ."
"protein polyubiquitination";"1      .";"1      ."
"protein secretion";"1      .";"1      ."
"purine nucleotide biosynthetic process";"1      .";"1      ."
"response to toxic substance";"1      .";"1      ."
"response to yeast";"1      .";"1      ."
"RNA phosphodiester bond hydrolysis, endonucleolytic";"1      .";"1      ."
"RNA phosphodiester bond hydrolysis, exonucleolytic";"1      .";"1      ."
"secondary active sulfate transmembrane transporter activity";"1      .";"1      ."
"signal transducer activity, downstream of receptor";"1      .";"1      ."
"small GTPase mediated signal transduction";"1      .";"1      ."
"sphingolipid metabolic process";"1      .";"1      ."
"steroid biosynthetic process";"1      .";"1      ."
"sulfate transmembrane transport";"1      .";"1      ."
"sulfate transmembrane transporter activity";"1      .";"1      ."
"sulfate transport";"1      .";"1      ."
"TBP-class protein binding";"1      .";"1      ."
"transferase activity";"1      .";"1      ."
"transferase activity, transferring acyl groups";"1      .";"1      ."
"transferase activity, transferring acyl groups other than amino-acyl groups";"1      .";"1      ."
"transferase activity, transferring glycosyl groups";"1      .";"1      ."
"transferase activity, transferring hexosyl groups";"1      .";"1      ."
"urea transmembrane transport";"1      .";"1      ."
"urea transmembrane transporter activity";"1      .";"1      ."
"very long-chain fatty acid biosynthetic process";"1      .";"1      ."
"vesicle";"1      .";"1      ."
"vesicle organization";"1      .";"1      ."
"water transmembrane transporter activity";"1      .";"1      ."
"water transport";"1      .";"1      ."
