"gene set";"p-value";"fdr"
"phosphatidylinositol metabolic process";"0.888888888888889      .";"1      ."
"phosphatidylinositol phosphate kinase activity";"0.888888888888889      .";"1      ."
"phosphatidylinositol phosphorylation";"0.888888888888889      .";"1      ."
"phospholipase A2 activity";"0.888888888888889      .";"1      ."
"pigmentation";"0.888888888888889      .";"1      ."
"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process";"0.888888888888889      .";"1      ."
"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway";"0.888888888888889      .";"1      ."
"positive regulation of Rho protein signal transduction";"0.888888888888889      .";"1      ."
"protein-glutamine gamma-glutamyltransferase activity";"0.888888888888889      .";"1      ."
"protein disulfide oxidoreductase activity";"0.888888888888889      .";"1      ."
"protein methylation";"0.888888888888889      .";"1      ."
"protein O-linked mannosylation";"0.888888888888889      .";"1      ."
"protein polyubiquitination";"0.888888888888889      .";"1      ."
"proton-transporting ATP synthase activity, rotational mechanism";"0.888888888888889      .";"1      ."
"proton-transporting ATPase activity, rotational mechanism";"0.888888888888889      .";"1      ."
"proton-transporting V-type ATPase, V1 domain";"0.888888888888889      .";"1      ."
"Rab GTPase binding";"0.888888888888889      .";"1      ."
"regulation of translational initiation";"0.888888888888889      .";"1      ."
"respiratory chain";"0.888888888888889      .";"1      ."
"ribosomal large subunit biogenesis";"0.888888888888889      .";"1      ."
"rRNA processing";"0.888888888888889      .";"1      ."
"sarcoplasmic reticulum";"0.888888888888889      .";"1      ."
"small-subunit processome";"0.888888888888889      .";"1      ."
"small GTPase mediated signal transduction";"0.888888888888889      .";"1      ."
"stress-activated protein kinase signaling cascade";"0.888888888888889      .";"1      ."
"TBP-class protein binding";"0.888888888888889      .";"1      ."
"thiolester hydrolase activity";"0.888888888888889      .";"1      ."
"transcription from RNA polymerase I promoter";"0.888888888888889      .";"1      ."
"transferase activity, transferring acyl groups other than amino-acyl groups";"0.888888888888889      .";"1      ."
"translation elongation factor activity";"0.888888888888889      .";"1      ."
"transmembrane transporter activity";"0.888888888888889      .";"1      ."
"tRNA aminoacylation for protein translation";"0.888888888888889      .";"1      ."
"troponin complex";"0.888888888888889      .";"1      ."
"U12-type spliceosomal complex";"0.888888888888889      .";"1      ."
"vacuolar acidification";"0.888888888888889      .";"1      ."
"actin cytoskeleton";"0.944444444444444      .";"1      ."
"activation of protein kinase activity";"0.944444444444444      .";"1      ."
"acyl-CoA hydrolase activity";"0.944444444444444      .";"1      ."
"acyl-CoA metabolic process";"0.944444444444444      .";"1      ."
"aminoacyl-tRNA ligase activity";"0.944444444444444      .";"1      ."
"Arp2/3 complex-mediated actin nucleation";"0.944444444444444      .";"1      ."
"Arp2/3 protein complex";"0.944444444444444      .";"1      ."
"blood coagulation";"0.944444444444444      .";"1      ."
"cellular response to oxidative stress";"0.944444444444444      .";"1      ."
"ceramide biosynthetic process";"0.944444444444444      .";"1      ."
"cilium organization";"0.944444444444444      .";"1      ."
"cysteine-type endopeptidase activity involved in execution phase of apoptosis";"0.944444444444444      .";"1      ."
"cytosol";"0.944444444444444      .";"1      ."
"DNA-dependent ATPase activity";"0.944444444444444      .";"1      ."
"DNA-directed 5'-3' RNA polymerase activity";"0.944444444444444      .";"1      ."
"DNA-directed RNA polymerase I complex";"0.944444444444444      .";"1      ."
"drug transmembrane transport";"0.944444444444444      .";"1      ."
"electron carrier activity";"0.944444444444444      .";"1      ."
"endocytosis";"0.944444444444444      .";"1      ."
"endosomal transport";"0.944444444444444      .";"1      ."
"enzyme activator activity";"0.944444444444444      .";"1      ."
"eukaryotic 48S preinitiation complex";"0.944444444444444      .";"1      ."
"eukaryotic translation initiation factor 3 complex";"0.944444444444444      .";"1      ."
"extrinsic component of cytoplasmic side of plasma membrane";"0.944444444444444      .";"1      ."
"formation of translation preinitiation complex";"0.944444444444444      .";"1      ."
"GDP-dissociation inhibitor activity";"0.944444444444444      .";"1      ."
"GPI anchor biosynthetic process";"0.944444444444444      .";"1      ."
"GTPase regulator activity";"0.944444444444444      .";"1      ."
"heat shock protein binding";"0.944444444444444      .";"1      ."
"heme biosynthetic process";"0.944444444444444      .";"1      ."
"hydrogen ion transmembrane transporter activity";"0.944444444444444      .";"1      ."
"integral component of mitochondrial outer membrane";"0.944444444444444      .";"1      ."
"ligase activity";"0.944444444444444      .";"1      ."
"lysosomal membrane";"0.944444444444444      .";"1      ."
"M band";"0.944444444444444      .";"1      ."
"macrophage differentiation";"0.944444444444444      .";"1      ."
"manganese ion binding";"0.944444444444444      .";"1      ."
"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity";"0.944444444444444      .";"1      ."
"melanosome organization";"0.944444444444444      .";"1      ."
"membrane coat";"0.944444444444444      .";"1      ."
"mitochondrial envelope";"0.944444444444444      .";"1      ."
"mitochondrial inner membrane";"0.944444444444444      .";"1      ."
"mitochondrial large ribosomal subunit";"0.944444444444444      .";"1      ."
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";"0.944444444444444      .";"1      ."
"mitochondrial small ribosomal subunit";"0.944444444444444      .";"1      ."
"mitochondrion";"0.944444444444444      .";"1      ."
"mitochondrion organization";"0.944444444444444      .";"1      ."
"molecular_function";"0.944444444444444      .";"1      ."
"mRNA export from nucleus";"0.944444444444444      .";"1      ."
"NADH dehydrogenase (ubiquinone) activity";"0.944444444444444      .";"1      ."
"negative regulation of Notch signaling pathway";"0.944444444444444      .";"1      ."
"neuropeptide Y receptor activity";"0.944444444444444      .";"1      ."
"nucleotide binding";"0.944444444444444      .";"1      ."
"one-carbon metabolic process";"0.944444444444444      .";"1      ."
"peptidyl-tyrosine autophosphorylation";"0.944444444444444      .";"1      ."
"phosphatidylinositol-3-phosphate biosynthetic process";"0.944444444444444      .";"1      ."
"positive regulation of protein ubiquitination";"0.944444444444444      .";"1      ."
"precatalytic spliceosome";"0.944444444444444      .";"1      ."
"protein catabolic process";"0.944444444444444      .";"1      ."
"protein transport";"0.944444444444444      .";"1      ."
"proteolysis involved in cellular protein catabolic process";"0.944444444444444      .";"1      ."
"proton transport";"0.944444444444444      .";"1      ."
"purine nucleotide biosynthetic process";"0.944444444444444      .";"1      ."
"regulation of actin filament polymerization";"0.944444444444444      .";"1      ."
"regulation of mitotic nuclear division";"0.944444444444444      .";"1      ."
"ribosome biogenesis";"0.944444444444444      .";"1      ."
"RNA phosphodiester bond hydrolysis, exonucleolytic";"0.944444444444444      .";"1      ."
"RNA polymerase I activity";"0.944444444444444      .";"1      ."
"RNA polymerase III activity";"0.944444444444444      .";"1      ."
"RNA secondary structure unwinding";"0.944444444444444      .";"1      ."
"sarcomere organization";"0.944444444444444      .";"1      ."
"spermatogenesis";"0.944444444444444      .";"1      ."
"spliceosomal snRNP assembly";"0.944444444444444      .";"1      ."
"striated muscle contraction";"0.944444444444444      .";"1      ."
"striated muscle myosin thick filament assembly";"0.944444444444444      .";"1      ."
"trace-amine receptor activity";"0.944444444444444      .";"1      ."
"transferase activity, transferring acyl groups";"0.944444444444444      .";"1      ."
"translation initiation factor activity";"0.944444444444444      .";"1      ."
"translational initiation";"0.944444444444444      .";"1      ."
"tricarboxylic acid cycle";"0.944444444444444      .";"1      ."
"tRNA aminoacylation";"0.944444444444444      .";"1      ."
"tRNA binding";"0.944444444444444      .";"1      ."
"tRNA methylation";"0.944444444444444      .";"1      ."
"ubiquitin-protein transferase activity";"0.944444444444444      .";"1      ."
"ubiquitin binding";"0.944444444444444      .";"1      ."
"vacuolar transport";"0.944444444444444      .";"1      ."
"vesicle organization";"0.944444444444444      .";"1      ."
"'de novo' protein folding";"1      .";"1      ."
"ADP transport";"1      .";"1      ."
"aminoacyl-tRNA editing activity";"1      .";"1      ."
"aminopeptidase activity";"1      .";"1      ."
"aspartic-type endopeptidase activity";"1      .";"1      ."
"ATP transport";"1      .";"1      ."
"carbohydrate biosynthetic process";"1      .";"1      ."
"cellular metabolic process";"1      .";"1      ."
"cellular_component";"1      .";"1      ."
"chaperone binding";"1      .";"1      ."
"chaperonin-containing T-complex";"1      .";"1      ."
"cysteine-type endopeptidase activity";"1      .";"1      ."
"cytoplasm";"1      .";"1      ."
"DNA-dependent DNA replication";"1      .";"1      ."
"DNA damage checkpoint";"1      .";"1      ."
"DNA topological change";"1      .";"1      ."
"double-strand break repair via homologous recombination";"1      .";"1      ."
"double-stranded RNA binding";"1      .";"1      ."
"early endosome";"1      .";"1      ."
"endodeoxyribonuclease activity";"1      .";"1      ."
"endomembrane system";"1      .";"1      ."
"endopeptidase activity";"1      .";"1      ."
"endosome organization";"1      .";"1      ."
"ER to Golgi vesicle-mediated transport";"1      .";"1      ."
"execution phase of apoptosis";"1      .";"1      ."
"FMN binding";"1      .";"1      ."
"glucose transmembrane transport";"1      .";"1      ."
"GTP binding";"1      .";"1      ."
"GTP biosynthetic process";"1      .";"1      ."
"GTPase activity";"1      .";"1      ."
"innate immune response";"1      .";"1      ."
"intracellular protein transport";"1      .";"1      ."
"intracellular transport";"1      .";"1      ."
"iron-sulfur cluster assembly";"1      .";"1      ."
"isomerase activity";"1      .";"1      ."
"late endosome";"1      .";"1      ."
"late endosome membrane";"1      .";"1      ."
"melanosome";"1      .";"1      ."
"melanosome transport";"1      .";"1      ."
"mitochondrial electron transport, NADH to ubiquinone";"1      .";"1      ."
"mitochondrial fusion";"1      .";"1      ."
"mitochondrial intermembrane space";"1      .";"1      ."
"mitochondrial matrix";"1      .";"1      ."
"mitochondrial transport";"1      .";"1      ."
"myeloid cell development";"1      .";"1      ."
"myoblast fusion";"1      .";"1      ."
"N-glycan processing";"1      .";"1      ."
"NAD+ binding";"1      .";"1      ."
"NADP binding";"1      .";"1      ."
"negative regulation of neuron apoptotic process";"1      .";"1      ."
"NLS-bearing protein import into nucleus";"1      .";"1      ."
"nuclear pore";"1      .";"1      ."
"nuclease activity";"1      .";"1      ."
"nucleolus";"1      .";"1      ."
"nucleotide-excision repair";"1      .";"1      ."
"O-acyltransferase activity";"1      .";"1      ."
"oxidoreductase activity, acting on NAD(P)H";"1      .";"1      ."
"P granule";"1      .";"1      ."
"peroxisome";"1      .";"1      ."
"phosphatidylinositol-mediated signaling";"1      .";"1      ."
"phosphatidylinositol dephosphorylation";"1      .";"1      ."
"proteasome assembly";"1      .";"1      ."
"proteasome complex";"1      .";"1      ."
"proteasome core complex";"1      .";"1      ."
"proteasome core complex, alpha-subunit complex";"1      .";"1      ."
"proteasome regulatory particle, base subcomplex";"1      .";"1      ."
"protein binding involved in protein folding";"1      .";"1      ."
"protein deubiquitination";"1      .";"1      ."
"protein folding";"1      .";"1      ."
"protein import into nucleus";"1      .";"1      ."
"protein kinase binding";"1      .";"1      ."
"protein transporter activity";"1      .";"1      ."
"pseudouridine synthase activity";"1      .";"1      ."
"pseudouridine synthesis";"1      .";"1      ."
"Ras protein signal transduction";"1      .";"1      ."
"regulation of catalytic activity";"1      .";"1      ."
"regulation of endocytosis";"1      .";"1      ."
"regulation of translation";"1      .";"1      ."
"regulation of translational fidelity";"1      .";"1      ."
"retrograde transport, endosome to Golgi";"1      .";"1      ."
"ribonuclease activity";"1      .";"1      ."
"ribosome binding";"1      .";"1      ."
"RNA modification";"1      .";"1      ."
"RNA polymerase II transcription cofactor activity";"1      .";"1      ."
"S-adenosylmethionine-dependent methyltransferase activity";"1      .";"1      ."
"small protein activating enzyme activity";"1      .";"1      ."
"substrate-specific transmembrane transporter activity";"1      .";"1      ."
"thiol-dependent ubiquitinyl hydrolase activity";"1      .";"1      ."
"threonine-type endopeptidase activity";"1      .";"1      ."
"thrombin-activated receptor activity";"1      .";"1      ."
"thrombin-activated receptor signaling pathway";"1      .";"1      ."
"tRNA modification";"1      .";"1      ."
"tRNA processing";"1      .";"1      ."
"ubiquitin-dependent ERAD pathway";"1      .";"1      ."
"ubiquitin-dependent protein catabolic process";"1      .";"1      ."
"ubiquitin ligase complex";"1      .";"1      ."
"unfolded protein binding";"1      .";"1      ."
"Z disc";"1      .";"1      ."
