"gene set";"p-value";"fdr"
"response to copper ion";"0.888888888888889      .";"1      ."
"response to methylmercury";"0.888888888888889      .";"1      ."
"retrograde transport, endosome to Golgi";"0.888888888888889      .";"1      ."
"sarcomere organization";"0.888888888888889      .";"1      ."
"secretory granule";"0.888888888888889      .";"1      ."
"single-stranded RNA binding";"0.888888888888889      .";"1      ."
"striated muscle contraction";"0.888888888888889      .";"1      ."
"striated muscle myosin thick filament assembly";"0.888888888888889      .";"1      ."
"thiol-dependent ubiquitinyl hydrolase activity";"0.888888888888889      .";"1      ."
"zinc II ion transmembrane transport";"0.888888888888889      .";"1      ."
"zinc ion transmembrane transporter activity";"0.888888888888889      .";"1      ."
"adaptive immune response";"0.944444444444444      .";"1      ."
"aspartic-type endopeptidase activity";"0.944444444444444      .";"1      ."
"ATP hydrolysis coupled proton transport";"0.944444444444444      .";"1      ."
"ATP metabolic process";"0.944444444444444      .";"1      ."
"autophagosome assembly";"0.944444444444444      .";"1      ."
"cAMP binding";"0.944444444444444      .";"1      ."
"cardiac muscle cell proliferation";"0.944444444444444      .";"1      ."
"cardiac muscle contraction";"0.944444444444444      .";"1      ."
"cellular response to hormone stimulus";"0.944444444444444      .";"1      ."
"connexin complex";"0.944444444444444      .";"1      ."
"cyclin-dependent protein serine/threonine kinase activity";"0.944444444444444      .";"1      ."
"developmental pigmentation";"0.944444444444444      .";"1      ."
"embryonic hemopoiesis";"0.944444444444444      .";"1      ."
"endoderm formation";"0.944444444444444      .";"1      ."
"endomembrane system";"0.944444444444444      .";"1      ."
"epiboly";"0.944444444444444      .";"1      ."
"extrinsic apoptotic signaling pathway in absence of ligand";"0.944444444444444      .";"1      ."
"GTP biosynthetic process";"0.944444444444444      .";"1      ."
"inositol-1,4,5-trisphosphate 3-kinase activity";"0.944444444444444      .";"1      ."
"intracellular protein transport";"0.944444444444444      .";"1      ."
"intracellular transport";"0.944444444444444      .";"1      ."
"iron-sulfur cluster assembly";"0.944444444444444      .";"1      ."
"late endosome";"0.944444444444444      .";"1      ."
"lysosome";"0.944444444444444      .";"1      ."
"melanosome transport";"0.944444444444444      .";"1      ."
"mitochondrial outer membrane";"0.944444444444444      .";"1      ."
"myeloid cell differentiation";"0.944444444444444      .";"1      ."
"NAD+ ADP-ribosyltransferase activity";"0.944444444444444      .";"1      ."
"negative regulation of insulin receptor signaling pathway";"0.944444444444444      .";"1      ."
"neutral amino acid transmembrane transporter activity";"0.944444444444444      .";"1      ."
"neutral amino acid transport";"0.944444444444444      .";"1      ."
"neutrophil differentiation";"0.944444444444444      .";"1      ."
"nucleobase-containing compound kinase activity";"0.944444444444444      .";"1      ."
"organic anion transport";"0.944444444444444      .";"1      ."
"phosphatidylinositol phosphate kinase activity";"0.944444444444444      .";"1      ."
"phosphatidylinositol phosphorylation";"0.944444444444444      .";"1      ."
"phospholipase A2 activity";"0.944444444444444      .";"1      ."
"pigmentation";"0.944444444444444      .";"1      ."
"positive regulation of catalytic activity";"0.944444444444444      .";"1      ."
"protein tyrosine/serine/threonine phosphatase activity";"0.944444444444444      .";"1      ."
"proton-transporting ATPase activity, rotational mechanism";"0.944444444444444      .";"1      ."
"Rab GTPase binding";"0.944444444444444      .";"1      ."
"Ras protein signal transduction";"0.944444444444444      .";"1      ."
"regulation of catalytic activity";"0.944444444444444      .";"1      ."
"regulation of inflammatory response";"0.944444444444444      .";"1      ."
"regulation of vesicle fusion";"0.944444444444444      .";"1      ."
"response to cadmium ion";"0.944444444444444      .";"1      ."
"response to cytokine";"0.944444444444444      .";"1      ."
"response to heat";"0.944444444444444      .";"1      ."
"response to lipopolysaccharide";"0.944444444444444      .";"1      ."
"response to yeast";"0.944444444444444      .";"1      ."
"ribosomal small subunit assembly";"0.944444444444444      .";"1      ."
"sarcolemma";"0.944444444444444      .";"1      ."
"skeletal muscle contraction";"0.944444444444444      .";"1      ."
"substrate-specific transmembrane transporter activity";"0.944444444444444      .";"1      ."
"superoxide metabolic process";"0.944444444444444      .";"1      ."
"thrombin-activated receptor activity";"0.944444444444444      .";"1      ."
"thrombin-activated receptor signaling pathway";"0.944444444444444      .";"1      ."
"transcription initiation from RNA polymerase II promoter";"0.944444444444444      .";"1      ."
"transmembrane transporter activity";"0.944444444444444      .";"1      ."
"troponin complex";"0.944444444444444      .";"1      ."
"ubiquinone biosynthetic process";"0.944444444444444      .";"1      ."
"vacuolar acidification";"0.944444444444444      .";"1      ."
"vacuolar proton-transporting V-type ATPase, V0 domain";"0.944444444444444      .";"1      ."
"vacuole";"0.944444444444444      .";"1      ."
"vesicle";"0.944444444444444      .";"1      ."
"vesicle-mediated transport";"0.944444444444444      .";"1      ."
"vesicle docking";"0.944444444444444      .";"1      ."
"zinc II ion transport";"0.944444444444444      .";"1      ."
"acrosin binding";"1      .";"1      ."
"antigen processing and presentation";"1      .";"1      ."
"axon development";"1      .";"1      ."
"binding of sperm to zona pellucida";"1      .";"1      ."
"carbohydrate phosphorylation";"1      .";"1      ."
"cation transmembrane transporter activity";"1      .";"1      ."
"cellular glucose homeostasis";"1      .";"1      ."
"chemokine receptor activity";"1      .";"1      ."
"cholesterol metabolic process";"1      .";"1      ."
"cilium organization";"1      .";"1      ."
"cyclin binding";"1      .";"1      ."
"egg coat formation";"1      .";"1      ."
"endosomal transport";"1      .";"1      ."
"erythrocyte development";"1      .";"1      ."
"erythrocyte maturation";"1      .";"1      ."
"exocyst";"1      .";"1      ."
"exocyst localization";"1      .";"1      ."
"extrinsic component of cytoplasmic side of plasma membrane";"1      .";"1      ."
"feeding behavior";"1      .";"1      ."
"G-protein coupled acetylcholine receptor activity";"1      .";"1      ."
"G-protein coupled peptide receptor activity";"1      .";"1      ."
"galanin receptor activity";"1      .";"1      ."
"gap junction";"1      .";"1      ."
"heme biosynthetic process";"1      .";"1      ."
"integral component of peroxisomal membrane";"1      .";"1      ."
"lysosomal membrane";"1      .";"1      ."
"melanosome organization";"1      .";"1      ."
"negative regulation of adenylate cyclase activity";"1      .";"1      ."
"negative regulation of Notch signaling pathway";"1      .";"1      ."
"neuropeptide signaling pathway";"1      .";"1      ."
"neuropeptide Y receptor activity";"1      .";"1      ."
"non-membrane spanning protein tyrosine kinase activity";"1      .";"1      ."
"peptidyl-tyrosine autophosphorylation";"1      .";"1      ."
"phosphatidylinositol metabolic process";"1      .";"1      ."
"positive regulation of acrosome reaction";"1      .";"1      ."
"protein K63-linked deubiquitination";"1      .";"1      ."
"protein ubiquitination";"1      .";"1      ."
"proton-transporting V-type ATPase, V0 domain";"1      .";"1      ."
"proton-transporting V-type ATPase, V1 domain";"1      .";"1      ."
"regulation of cell cycle";"1      .";"1      ."
"regulation of muscle contraction";"1      .";"1      ."
"response to drug";"1      .";"1      ."
"response to virus";"1      .";"1      ."
"SNARE binding";"1      .";"1      ."
"steroid metabolic process";"1      .";"1      ."
"structural constituent of eye lens";"1      .";"1      ."
"synaptic transmission, cholinergic";"1      .";"1      ."
"thigmotaxis";"1      .";"1      ."
"thiol-dependent ubiquitin-specific protease activity";"1      .";"1      ."
